K_BREV_T;SPRAK_2_TEGN
P2200_SI;NB
P2200_SK;NB
P2200_UK;NB
P4000;NB
P6000;NB
P7000;NB
P8000;NB
P9000;NB
R001;NB
R002;NB
R003;NB
R004;NB
R005;NB
R006;NB
PE_IY_05_027;NN
PE_AF_04_102;NN
PE_AF_03_100;NN
PE_AF_04_100;NN
PE_AP_04_202;NN
PE_IY_05_241;NN
PE_AP_01_006;NN
PE_AF_04_111;NN
PE_AF_04_103;NN
PE_AP_04_211;NN
PE_AF_04_101;NN
PE_IY_05_105;NN
PE_AP_04_210;NN
PE_IY_05_104;NN
PE_AF_04_106;NN
PE_AP_04_221;NN
PE_AF_04_104;NN
PE_AF_04_105;NN
PE_UP_04_021;NN
PE_AF_04_112;NN
PE_AF_04_107;NN
PE_AF_03_101;NN
PE_AP_04_226;NN
PE_AP_04_226;NB
PE_GP_04_028;NN
PE_AF_04_108;NN
PE_AF_04_110;NN
PE_AP_01_007;NN
PE_AF_04_109;NN
PE_AF_04_114;NN
PE_AF_04_115;NN
PE_AF_04_116;NN
PE_AP_04_227;NN
PE_AF_04_114;NB
PE_AF_04_115;NB
PE_AF_04_116;NB
PE_AP_04_227;NB
PE_FT_01_002;NN
PE_FT_01_003;NN
PE_FT_01_004;NN
PE_FT_01_005;NN
PE_FT_01_006;NN
PE_FT_01_007;NN
PE_AP_04_222;EN
PE_UP_04_023;EN
PE_UP_04_024;EN
PE_UP_04_025;EN
PE_UP_04_026;EN
PE_UP_04_027;EN
PE_UP_04_030;EN
PE_UP_04_028;EN
PE_UP_04_029;EN
PE_GP_04_031;EN
PE_GP_04_032;EN
PE_GP_04_033;EN
PE_GP_04_023;EN
PE_GP_04_024;EN
PE_GP_04_025;EN
PE_GP_04_026;EN
PE_GP_04_027;EN
PE_GP_04_034;EN
PE_GP_04_028;EN
PE_GP_04_029;EN
PE_BP_04_021;EN
PE_BP_04_011;EN
PE_BP_04_031;EN
PE_IY_05_028;NB
PE_IY_04_062;NB
PE_AP_04_226;EN
PE_AP_04_222;NN
PE_GP_01_010;FR
PE_GP_01_010;NN
PE_BA_04_534;NB
PE_UP_07_010;NB
PE_UP_07_105;NB
PE_UP_07_100;NB
PE_UP_07_010;NN
PE_UP_07_105;NN
PE_UP_07_100;NN
PE_UT_04_001;NB
PE_UT_04_001;NN
PE_UT_04_002;NB
PE_UT_04_002;NN
PE_UT_04_003;NB
PE_UT_04_003;NN
PE_UT_04_100;NB
PE_UT_04_100;NN
PE_UT_04_101;NB
PE_UT_04_101;NN
PE_UT_04_101;EN
PE_UT_04_102;NB
PE_UT_04_102;NN
PE_UT_04_102;EN
PE_UT_04_103;NB
PE_UT_04_103;NN
PE_UT_04_104;NB
PE_UT_04_104;NN
PE_UT_04_104;EN
PE_UT_04_114;NB
PE_UT_04_114;NN
PE_UT_04_115;NB
PE_UT_04_115;NN
PE_UT_04_117;NB
PE_UT_04_117;NN
PE_UT_04_300;NB
PE_UT_04_300;NN
PE_UT_05_100;NB
PE_UT_05_100;NN
PE_UT_06_100;NB
PE_UT_06_100;NN
PE_UT_14_300;NB
PE_UT_14_300;NN
E001;NB
E205;NB
E211;NB
E210;NB
PE_UT_01_001;NB
PE_UT_01_001;NN
PE_AP_04_214;NN
PE_AP_04_215;NN
PE_AP_04_216;NN
PE_AP_04_223;NN
PE_UT_06_200;NB
PE_UT_04_008;NB
PE_UT_04_008;NN
PE_UT_04_118;NB
PE_UT_04_118;EN
PE_UT_04_401;NB
PE_UT_23_101;NB
PE_UT_23_001;NB
E204;NB
PE_UT_04_004;NB
PE_UT_07_100;NB
PE_UT_04_400;NB
PE_UT_04_402;NB
PE_UT_04_004;NN
PE_UT_04_106;NB
PE_UT_04_107;NB
PE_UT_07_100;NN
PE_UT_04_108;NB
PE_UT_04_108;NN
PE_UT_04_109;NB
PE_UT_04_109;NN
PE_UT_04_500;EN
PE_UT_04_500;NN
PE_UT_04_500;NB
E202;NB
E202_E205;NB
PE_UT_06_300;NB
PE_UT_04_400;NN
PE_UT_04_401;NN
PE_UT_04_402;NN
PE_UT_23_001;NN
PE_UT_23_101;NN
INFO_P1;NB
INFO_P1;EN
AP_INNV_MAN;NB
AP_INNV_MAN;NN
AP_INNV_MAN;EN
OMSORG_HJST_AUTO;NB
OMSORG_HJST_AUTO;NN
OMSORG_HJST_AUTO;EN
AP_RETTING_AUTO;NB
AP_RETTING_AUTO;NN
GP_INFO_AP_GT;NB
AFP_ENDR_OPPTJ_AUTO;NB
AFP_ENDR_OPPTJ_AUTO;NN
AFP_ENDR_OPPTJ_AUTO;EN
AP_OPPH_FT_MAN;NB
AP_OPPH_FT_MAN;NN
AP_OPPH_FT_MAN;EN
DSYS_G_REDIGERBAR;NB
DSYS_G_I_REDIGERBAR;NB
AP_AVSL_ENDR;NB
AP_AVSL_ENDR;NN
AP_AVSL_ENDR;EN
AP_AVSL_TIDLUTTAK;NB
AP_AVSL_TIDLUTTAK;NN
AP_AVSL_TIDLUTTAK;EN
AP_AVSL_UTTAK;NB
AP_AVSL_UTTAK;NN
AP_AVSL_UTTAK;EN
DOD_INFO_RETT_AUTO;NB
DOD_INFO_RETT_AUTO;NN
DOD_INFO_RETT_AUTO;EN
