K_BREV_T;K_SAK_T;GYLDIGMAPPING;BREVGYLDIG
PE_IY_03_154;FAM_PL;1;1
PE_IY_03_154;GAM_YRK;1;1
PE_IY_03_154;GENRL;1;1
PE_IY_03_154;GJENLEV;1;1
PE_IY_03_154;GRBL;1;1
PE_IY_03_154;KRIGSP;1;1
PE_IY_03_154;OMSORG;1;1
PE_IY_03_154;UFOREP;1;1
PE_IY_03_155;AFP;1;1
PE_IY_03_155;AFP_PRIVAT;1;1
PE_IY_03_155;ALDER;1;1
PE_IY_03_155;BARNEP;1;1
PE_IY_03_155;FAM_PL;1;1
PE_IY_03_155;GAM_YRK;1;1
PE_IY_03_155;GENRL;1;1
PE_IY_03_155;GJENLEV;1;1
PE_IY_03_155;GRBL;1;1
PE_IY_03_155;KRIGSP;1;1
PE_IY_03_155;OMSORG;1;1
PE_IY_03_155;UFOREP;1;1
PE_IY_03_156;AFP;1;1
PE_IY_03_156;AFP_PRIVAT;1;1
PE_IY_03_156;ALDER;1;1
PE_IY_03_156;BARNEP;1;1
PE_IY_03_156;FAM_PL;1;1
PE_IY_03_156;GAM_YRK;1;1
PE_IY_03_156;GENRL;1;1
PE_IY_03_156;GJENLEV;1;1
PE_IY_03_156;GRBL;1;1
PE_IY_03_156;KRIGSP;1;1
PE_IY_03_156;OMSORG;1;1
PE_IY_03_156;UFOREP;1;1
PE_IY_03_157;AFP;1;1
PE_IY_03_157;AFP_PRIVAT;1;1
PE_IY_03_157;ALDER;1;1
PE_IY_03_157;BARNEP;1;1
PE_IY_03_157;FAM_PL;1;1
PE_IY_03_157;GAM_YRK;1;1
PE_IY_03_157;GENRL;1;1
PE_IY_03_157;GJENLEV;1;1
PE_IY_03_157;GRBL;1;1
PE_IY_03_157;KRIGSP;1;1
PE_IY_03_157;OMSORG;1;1
PE_IY_03_157;UFOREP;1;1
PE_IY_03_158;AFP;1;1
PE_IY_03_158;AFP_PRIVAT;1;1
PE_IY_03_158;ALDER;1;1
PE_IY_03_158;BARNEP;1;1
PE_IY_03_158;FAM_PL;1;1
PE_IY_03_158;GAM_YRK;1;1
PE_IY_03_158;GENRL;1;1
PE_IY_03_158;GJENLEV;1;1
PE_IY_03_158;GRBL;1;1
PE_IY_03_158;KRIGSP;1;1
PE_IY_03_158;OMSORG;1;1
PE_IY_03_158;UFOREP;1;1
PE_IY_03_159;AFP;1;1
PE_IY_03_159;AFP_PRIVAT;1;1
PE_IY_03_159;ALDER;1;1
PE_IY_03_159;BARNEP;1;1
PE_IY_03_159;FAM_PL;1;1
PE_IY_03_159;GAM_YRK;1;1
PE_IY_03_159;GENRL;1;1
PE_IY_03_159;GJENLEV;1;1
PE_IY_03_159;GRBL;1;1
PE_IY_03_159;KRIGSP;1;1
PE_IY_03_159;OMSORG;1;1
PE_IY_03_159;UFOREP;1;1
PE_IY_03_160;AFP;1;1
PE_IY_03_160;AFP_PRIVAT;1;1
PE_IY_03_160;ALDER;1;1
PE_IY_03_160;BARNEP;1;1
PE_IY_03_160;FAM_PL;1;1
PE_IY_03_160;GAM_YRK;1;1
PE_IY_03_160;GENRL;1;1
PE_IY_03_160;GJENLEV;1;1
PE_IY_03_160;GRBL;1;1
PE_IY_03_160;KRIGSP;1;1
PE_IY_03_160;OMSORG;1;1
PE_IY_03_160;UFOREP;1;1
PE_IY_03_161;AFP;1;1
PE_IY_03_161;AFP_PRIVAT;1;1
PE_IY_03_161;ALDER;1;1
PE_IY_03_161;BARNEP;1;1
PE_IY_03_161;FAM_PL;1;1
PE_IY_03_161;GAM_YRK;1;1
PE_IY_03_161;GENRL;1;1
PE_IY_03_161;GJENLEV;1;1
PE_IY_03_161;GRBL;1;1
PE_IY_03_161;KRIGSP;1;1
